,County,Population,Male,Female,White,Black,Minority,Housing Units,Aggregate Rent Spent By All Renter Housing Units,Rental Units For Which Rent Expenditures Calculated,Occupation Of Residents 16 Or Older - Professional And Managerial,"Occupation Of Residents 16 Or Older - Sales, Office And Administrative Support",Occupation Of Residents 16 Or Older - Services,"Occupation Of Residents 16 Or Older - Farming, Forestry, Or Fishing","Occupation Of Residents 16 Or Older - Construction, Extraction And Maintenance","Occupation Of Residents 16 Or Older - Production, Transportation And Material Moving",Work Classification Of Residents 16 Or Older - Private For-Profit Wage And Salary Workers,Work Classification Of Residents 16 Or Older - Private Non-Profit Wage And Salary Workers,Work Classification Of Residents 16 Or Older - Government Workers,Work Classification Of Residents 16 Or Older - Self-Employed Workers,Work Classification Of Residents 16 Or Older - Unpaid Family Workers,Means Of Travel To Work Of Employed Persons 16 Or Older - Drove Alone,Means Of Travel To Work Of Employed Persons 16 Or Older - Carpool,Means Of Travel To Work Of Employed Persons 16 Or Older - Public Transit,Means Of Travel To Work Of Employed Persons 16 Or Older - Taxicab,Means Of Travel To Work Of Employed Persons 16 Or Older - Motorcycle,Means Of Travel To Work Of Employed Persons 16 Or Older - Bicycle,Means Of Travel To Work Of Employed Persons 16 Or Older - Walked,Means Of Travel To Work Of Employed Persons 16 Or Older - Other Means,Means Of Travel To Work Of Employed Persons 16 Or Older - Worked At Home,"Households With Income Less Than $10,000","Households With Income $10,000-$14,999","Households With Income $15,000-$19,999","Households With Income $20,000-$24,999","Households With Income $25,000-$29,999","Households With Income $30,000-$34,999","Households With Income $35,000-$39,999","Households With Income $40,000-$44,999","Households With Income $45,000-$49,999","Households With Income $50,000-$59,999","Households With Income $60,000-$74,999","Households With Income $75,000-$99,999","Households With Income $100,000-$124,999","Households With Income $125,000-$149,999","Households With Income $150,000-$199,999","Households With Income $200,000 Or More",White Persons Among Whom Poverty Status Was Determined,Black Persons Among Whom Poverty Status Was Determined,Persons In Poverty,White Persons In Poverty,Black Persons In Poverty
8,Cass,997,515,482,757,61,273,452,90441.0,141,86,145,47,19,54,0,296,0,0,54,0,350,0,0,0,0,0,0,0,0,77,48,6,25,26,29,54,20,19,35,20,11,7,9,0,0,877,18,153,147,0
460,Jackson,2089,1028,1061,1751,156,412,1003,202668.0,394,139,99,87,0,95,199,498,28,7,86,0,536,57,0,0,0,0,11,0,15,121,26,72,86,142,108,83,36,21,42,38,32,63,0,0,0,1635,156,624,330,80
583,Jackson,3220,1650,1570,3122,19,119,1262,64086.0,169,647,377,174,0,272,167,1113,97,161,267,0,1146,242,0,0,0,0,21,77,131,44,8,15,23,17,63,63,47,53,102,158,253,128,82,89,53,3149,0,76,76,0
775,Platte,2086,1014,1072,1663,257,530,947,291840.0,428,559,286,142,0,77,93,799,184,89,84,0,1014,40,23,0,0,0,0,13,2,22,39,57,38,37,82,61,29,43,76,75,93,77,46,81,19,1619,271,165,71,83
54,Cass,2301,1076,1225,1783,366,561,997,609672.0,527,273,352,145,0,60,225,804,76,153,23,0,807,203,0,0,0,16,0,9,25,9,21,75,27,31,30,85,66,34,114,188,102,34,28,6,0,1832,254,390,327,46
163,Clay,1426,716,710,1250,72,216,657,175671.0,293,250,96,207,19,29,96,511,32,60,93,0,548,10,37,0,0,0,0,51,50,17,100,52,25,31,43,69,106,26,15,41,43,23,0,0,0,1307,28,195,149,21
563,Jackson,1468,486,982,1400,32,85,1498,1270625.0,997,22,30,0,0,38,34,112,12,0,0,0,124,0,0,0,0,0,0,0,0,81,123,153,179,168,118,51,33,52,84,53,22,23,0,0,0,1233,152,140,66,68
596,Jackson,985,543,442,198,625,860,298,103829.0,244,11,45,86,0,2,58,140,7,47,7,0,59,0,124,0,0,0,12,7,0,104,46,34,21,32,15,9,6,2,0,0,0,0,0,0,0,145,770,615,78,478
704,Jackson,1191,664,527,814,224,438,903,416755.0,703,331,101,168,0,15,110,444,124,63,93,0,546,44,46,0,0,0,27,0,12,259,74,48,12,12,41,77,39,13,35,56,46,20,3,7,35,906,144,276,175,81
459,Jackson,1999,1013,986,1700,93,349,1076,178158.0,394,207,247,173,0,143,210,740,103,111,26,0,816,67,27,0,0,0,22,0,12,67,69,108,108,82,71,59,58,36,45,61,113,35,14,0,0,1565,150,598,316,77
558,Jackson,3195,1592,1603,2940,171,352,1070,43868.0,35,849,423,104,0,178,139,1175,154,263,90,11,1501,77,12,0,0,0,22,0,36,20,7,4,12,38,41,21,42,49,114,178,228,161,66,53,7,2985,69,125,125,0
808,Platte,1845,907,938,1676,68,232,734,260839.0,294,375,273,186,17,22,71,638,55,191,60,0,888,104,0,0,0,0,11,27,28,17,4,14,8,29,46,38,11,25,75,110,129,110,35,17,22,1672,83,178,174,3
683,Jackson,1683,1214,469,787,736,930,665,194400.0,277,373,130,118,0,17,17,397,73,113,73,0,541,15,24,0,0,19,39,0,5,140,16,11,23,32,11,39,35,16,21,29,56,27,26,60,25,612,174,275,171,73
489,Jackson,1013,495,518,777,150,264,524,124910.0,218,167,209,75,0,79,72,500,40,14,47,0,548,0,24,0,0,0,10,19,0,30,30,5,21,61,53,42,33,16,32,53,67,22,0,0,0,668,216,121,76,27
812,Platte,1276,643,633,1249,0,54,512,3289.0,30,276,164,93,18,65,33,551,39,60,0,0,630,19,0,0,0,0,0,0,0,0,0,0,0,28,29,13,7,23,56,88,138,52,22,40,0,1229,96,70,58,3
70,Clay,967,508,459,882,28,126,477,32830.0,58,165,217,34,0,58,89,492,33,25,15,0,515,35,0,0,0,0,0,0,15,2,12,18,17,40,37,35,22,17,43,65,70,38,18,5,0,785,69,48,43,4
734,Jackson,687,399,288,397,213,329,465,114650.0,228,181,45,95,0,0,6,212,45,17,53,0,217,0,83,0,0,27,0,0,0,152,6,28,17,12,15,9,4,6,20,30,17,4,0,6,28,300,283,304,75,183
85,Clay,1477,738,739,1347,40,182,588,69349.0,104,234,179,33,0,115,126,514,36,95,42,0,586,86,0,0,0,0,15,0,0,5,15,45,38,29,49,51,24,39,73,72,81,30,0,0,0,1362,84,251,229,20
63,Clay,875,413,462,820,11,91,425,25773.0,50,178,138,107,0,89,37,253,50,159,88,0,419,36,66,0,0,0,0,0,0,15,22,35,13,17,21,24,14,21,52,66,46,27,25,7,0,812,1333,27,27,33
800,Platte,2115,1071,1044,1810,132,394,759,0.0,21,535,301,108,0,146,128,778,122,164,153,0,960,150,0,0,0,0,0,0,108,5,27,3,7,12,12,15,31,54,80,64,147,146,79,32,19,1872,1872,126,114,114
144,Clay,1552,787,765,1450,29,156,588,52953.0,84,253,225,96,0,86,112,634,18,76,43,0,623,81,0,0,0,0,0,0,31,16,29,26,31,28,18,16,17,19,43,51,55,79,47,45,32,1425,74,192,177,6
811,Platte,703,375,328,623,23,113,424,83307.0,176,56,81,113,10,58,96,361,2,38,13,0,335,40,0,0,0,0,17,13,12,30,18,30,34,18,23,25,12,17,39,48,40,4,3,2,0,677,53,39,32,1
184,Clay,1163,589,574,1119,9,64,447,31189.0,36,158,101,101,0,61,103,313,35,103,72,0,345,78,0,0,0,0,0,0,60,9,2,16,32,18,16,35,22,8,20,45,76,45,41,23,12,1149,21,25,25,0
174,Clay,942,457,485,895,10,70,443,68095.0,140,29,184,36,0,76,72,317,20,26,34,0,341,36,0,0,0,0,0,3,17,6,45,66,58,18,27,28,34,9,0,26,79,0,0,0,0,840,58,168,151,16
626,Jackson,2206,985,1221,1392,662,860,1032,260221.0,510,261,303,198,0,117,134,716,60,192,44,0,886,116,0,0,0,0,0,0,0,129,98,122,82,55,31,33,39,36,59,65,74,72,46,30,0,1532,1742,167,94,97
